airline,origin,dest,distance,dep_delay,arr_delay,date
American,SEA,MIA,868,47,66,2023-02-01
AirIndia,SFO,DFW,1655,131,150,2023-02-03
American,SFO,ATL,1089,162,154,2023-03-11
Southwest,LAX,SEA,2166,106,123,2023-01-12
United,LAX,DFW,1316,82,88,2023-02-04
United,SEA,JFK,860,5,-7,2023-01-23
Delta,ATL,DFW,1200,35,32,2023-02-23
United,LAX,DEN,2405,175,182,2023-02-25
Delta,DEN,ORD,1274,96,104,2023-03-18
Delta,MIA,SEA,1307,104,91,2023-02-16
Delta,SFO,LAS,484,161,153,2023-03-08
American,LAX,ATL,357,52,66,2023-03-23
Delta,ORD,DEN,883,99,104,2023-03-12
Southwest,SEA,ATL,1389,71,65,2023-01-25
JetBlue,ATL,MIA,1479,19,36,2023-01-30
American,LAX,DFW,2325,85,75,2023-03-24
AirIndia,LAX,SFO,1166,52,70,2023-02-28
United,SEA,ATL,2054,82,91,2023-01-23
AirIndia,DEN,SEA,471,113,114,2023-01-16
Southwest,MIA,JFK,310,163,162,2023-02-26
United,JFK,LAS,1912,59,72,2023-02-19
AirIndia,MIA,ATL,1987,133,146,2023-02-20
JetBlue,SFO,DEN,2193,19,35,2023-03-24
Southwest,LAX,ORD,218,108,96,2023-03-25
Delta,MIA,SEA,1862,-5,1,2023-01-30
Delta,ORD,SEA,2364,49,41,2023-03-10
American,LAS,DFW,1723,173,175,2023-01-02
JetBlue,LAX,ATL,1907,142,145,2023-02-19
AirIndia,MIA,JFK,975,91,91,2023-01-26
American,LAX,SEA,937,0,-9,2023-02-22
United,SEA,DFW,1081,30,21,2023-02-03
United,DEN,JFK,2431,157,151,2023-03-29
American,DFW,ATL,976,165,164,2023-03-27
JetBlue,DEN,SEA,1114,1,19,2023-02-07
American,DEN,ORD,1803,107,110,2023-01-25
American,LAS,SFO,1159,11,23,2023-01-09
JetBlue,LAS,MIA,1525,125,139,2023-01-26
Delta,SFO,MIA,1934,107,98,2023-01-17
United,DEN,MIA,1954,107,119,2023-01-27
United,ATL,LAS,1598,137,138,2023-02-26
Delta,JFK,ORD,691,100,92,2023-03-23
Southwest,DEN,ORD,2312,146,136,2023-02-09
AirIndia,DEN,LAS,2069,134,132,2023-02-10
Delta,ATL,JFK,1355,61,46,2023-03-22
JetBlue,ATL,LAX,2163,24,31,2023-02-25
American,SFO,SEA,978,43,52,2023-03-07
United,LAS,SEA,1169,129,121,2023-02-05
JetBlue,DFW,LAS,1814,58,65,2023-04-01
Delta,ATL,SEA,2384,13,27,2023-01-15
JetBlue,LAX,SEA,2164,90,96,2023-03-13
American,DEN,ATL,1614,176,180,2023-03-05
AirIndia,LAS,MIA,1220,166,179,2023-03-22
Delta,SEA,MIA,1643,145,150,2023-01-21
JetBlue,SEA,SFO,318,48,54,2023-03-15
United,ATL,DEN,950,57,69,2023-01-09
United,ORD,LAS,593,23,27,2023-02-27
United,LAS,DEN,470,57,58,2023-02-16
JetBlue,ATL,MIA,755,104,91,2023-01-10
American,JFK,SEA,1967,63,63,2023-02-23
Southwest,JFK,LAX,404,161,180,2023-03-18
Delta,LAS,JFK,1268,-3,-9,2023-02-07
United,ATL,LAS,1533,170,173,2023-03-11
JetBlue,JFK,DFW,1235,20,31,2023-03-19
Delta,MIA,SFO,1761,56,70,2023-01-04
Southwest,ATL,LAS,681,51,45,2023-02-26
American,LAX,SEA,1816,83,97,2023-02-27
JetBlue,LAX,SEA,238,133,132,2023-03-15
Southwest,MIA,DEN,834,46,43,2023-01-15
Southwest,DFW,DEN,1027,24,43,2023-02-27
Southwest,MIA,ORD,2400,14,22,2023-01-28
American,ATL,LAS,1939,48,55,2023-02-01
Southwest,DEN,JFK,1278,178,177,2023-01-13
JetBlue,LAX,ORD,2093,51,66,2023-03-27
AirIndia,LAX,MIA,706,111,129,2023-02-16
JetBlue,ATL,MIA,2274,59,67,2023-01-13
JetBlue,MIA,DEN,1510,-4,11,2023-01-23
United,MIA,ATL,1801,78,67,2023-01-07
Southwest,JFK,ORD,1490,169,187,2023-02-05
JetBlue,DFW,LAX,2326,70,79,2023-01-30
JetBlue,DEN,SEA,1061,137,124,2023-01-06
JetBlue,SEA,MIA,1100,146,146,2023-01-26
AirIndia,ORD,LAS,560,129,132,2023-03-17
AirIndia,ORD,MIA,1898,6,14,2023-03-11
AirIndia,MIA,SFO,1468,94,88,2023-01-22
Southwest,LAX,MIA,1022,175,177,2023-03-07
JetBlue,LAX,DFW,299,139,127,2023-03-10
United,SEA,DEN,254,85,99,2023-01-26
United,LAS,JFK,269,89,79,2023-01-10
AirIndia,ORD,SFO,893,-4,14,2023-03-31
Southwest,MIA,LAX,832,41,47,2023-02-17
Southwest,SFO,LAS,837,115,131,2023-01-30
Delta,SFO,DEN,1374,171,159,2023-03-22
Delta,LAS,MIA,850,88,102,2023-02-27
Southwest,LAS,MIA,2207,40,32,2023-01-11
Southwest,ATL,DFW,1809,67,76,2023-03-29
United,ORD,JFK,1857,114,108,2023-02-13
United,LAS,DFW,1509,119,133,2023-02-08
JetBlue,DFW,JFK,1779,70,79,2023-03-04
American,SEA,LAX,488,69,67,2023-01-06
Southwest,DEN,MIA,426,31,24,2023-02-21
American,DEN,JFK,700,178,191,2023-01-21
American,SFO,LAS,1899,-8,-22,2023-02-28
Delta,ORD,SFO,1300,44,47,2023-01-05
Southwest,LAS,DFW,1198,128,117,2023-01-26
American,SEA,SFO,1702,75,70,2023-02-14
Southwest,ATL,MIA,1652,23,10,2023-01-22
Southwest,SEA,MIA,1127,0,19,2023-03-14
Delta,LAX,SEA,1842,110,108,2023-03-29
American,ORD,DEN,1390,75,90,2023-02-02
United,LAX,DEN,202,33,49,2023-02-04
United,MIA,LAX,240,82,77,2023-03-10
JetBlue,DFW,MIA,969,170,159,2023-03-20
United,DEN,JFK,1564,171,170,2023-02-25
American,JFK,ORD,1728,56,57,2023-03-08
United,ATL,ORD,2100,22,18,2023-03-04
AirIndia,LAX,SEA,1292,34,25,2023-03-08
AirIndia,LAS,ATL,927,95,105,2023-02-14
JetBlue,ORD,SEA,1475,-8,-1,2023-01-26
United,SEA,LAS,527,10,27,2023-03-26
American,LAS,SEA,1593,129,126,2023-02-16
Southwest,LAX,SEA,2487,81,98,2023-02-23
AirIndia,JFK,ORD,824,115,100,2023-01-13
American,SFO,DFW,405,102,109,2023-02-27
AirIndia,DEN,SEA,2284,17,23,2023-03-03
Southwest,LAX,SFO,754,-5,13,2023-02-18
United,ATL,LAX,1492,118,113,2023-03-18
United,SEA,LAS,1012,8,21,2023-02-16
AirIndia,ORD,ATL,1199,64,79,2023-01-13
AirIndia,DFW,DEN,1894,82,88,2023-01-07
Southwest,DFW,DEN,609,159,161,2023-03-13
American,ATL,SFO,1003,18,23,2023-01-26
JetBlue,ORD,ATL,1088,30,15,2023-03-23
American,DFW,DEN,1184,74,66,2023-02-25
Delta,LAX,SEA,529,34,24,2023-03-16
United,ORD,LAX,2355,57,47,2023-03-13
Southwest,DFW,JFK,1487,6,7,2023-03-08
AirIndia,LAX,LAS,1730,154,147,2023-02-05
AirIndia,ORD,LAS,1995,36,51,2023-01-07
Delta,DEN,SEA,1812,52,49,2023-02-10
Delta,MIA,DEN,1085,16,35,2023-01-21
JetBlue,ATL,DEN,715,163,174,2023-02-14
Southwest,SFO,LAX,2200,74,77,2023-01-20
United,SEA,LAX,2440,2,-1,2023-02-25
AirIndia,JFK,DEN,1126,151,139,2023-02-05
United,DEN,JFK,2482,-1,-10,2023-03-06
JetBlue,LAX,SEA,1445,125,144,2023-03-09
Southwest,LAX,ATL,2429,109,107,2023-03-16
Southwest,DFW,ATL,548,167,166,2023-03-18
United,ORD,DEN,411,53,55,2023-01-23
United,DFW,DEN,1237,167,187,2023-02-02
AirIndia,SFO,MIA,396,125,142,2023-03-22
Delta,DEN,MIA,1871,10,-4,2023-03-02
Delta,DEN,SEA,2226,130,120,2023-02-14
American,DFW,ORD,540,5,5,2023-03-24
American,LAS,MIA,961,55,71,2023-02-18
Delta,LAX,SEA,2427,15,23,2023-02-21
Delta,LAX,MIA,537,82,67,2023-03-01
American,SEA,MIA,2082,78,64,2023-01-11
United,DEN,ORD,1116,153,154,2023-01-08
American,MIA,SEA,2363,-1,-8,2023-01-21
Delta,SEA,JFK,479,143,162,2023-02-08
AirIndia,LAS,ORD,1315,24,28,2023-02-15
American,LAX,MIA,450,139,137,2023-01-28
Southwest,DFW,JFK,2444,-8,10,2023-02-05
United,MIA,LAS,2080,92,85,2023-01-09
AirIndia,LAS,JFK,1990,151,142,2023-04-01
Delta,DEN,ORD,1493,124,140,2023-03-31
Delta,DFW,SEA,2057,154,146,2023-02-26
AirIndia,ORD,JFK,951,168,178,2023-03-02
Southwest,ORD,ATL,2080,151,160,2023-02-09
Southwest,DFW,ORD,2426,168,184,2023-03-21
JetBlue,DFW,SFO,1682,139,152,2023-02-13
JetBlue,DEN,LAS,755,57,62,2023-01-30
Southwest,LAX,SEA,651,85,77,2023-01-07
Delta,ATL,MIA,1781,147,151,2023-02-15
Delta,LAX,SFO,2419,0,1,2023-02-23
Southwest,ATL,MIA,644,54,47,2023-01-05
AirIndia,DFW,SFO,1186,58,66,2023-02-17
American,LAS,DEN,1460,30,35,2023-01-07
Delta,LAS,SFO,1906,171,158,2023-03-28
United,LAS,SEA,1146,121,119,2023-01-28
Southwest,ORD,SEA,837,167,157,2023-03-20
Delta,MIA,DFW,426,180,168,2023-01-31
Southwest,JFK,DFW,1525,168,170,2023-02-14
Delta,JFK,SFO,2474,-4,10,2023-01-04
JetBlue,JFK,LAS,1537,160,149,2023-03-26
Delta,LAS,ATL,449,159,155,2023-03-24
United,SFO,SEA,2133,-9,6,2023-01-22
United,SFO,SEA,903,133,142,2023-01-02
Delta,JFK,DFW,706,173,177,2023-02-09
United,ATL,LAS,1690,112,128,2023-01-16
JetBlue,MIA,SEA,543,39,28,2023-03-17
Southwest,ORD,DFW,1803,68,71,2023-01-13
JetBlue,ATL,SFO,1503,103,110,2023-02-28
JetBlue,DEN,SFO,526,85,79,2023-03-07
JetBlue,LAS,ORD,2017,105,94,2023-01-29
Delta,LAX,MIA,1849,40,53,2023-02-17
AirIndia,LAX,ORD,2468,21,33,2023-02-24
American,ORD,MIA,1141,60,66,2023-02-27
JetBlue,MIA,DEN,1156,155,151,2023-01-21
American,DEN,LAS,1630,169,173,2023-03-11
United,DEN,LAS,560,120,118,2023-03-15
United,SFO,JFK,798,98,91,2023-03-08
Southwest,LAX,ORD,2108,21,40,2023-03-07
AirIndia,JFK,DEN,1385,41,35,2023-03-10
Delta,LAS,ORD,2493,68,62,2023-02-26
United,MIA,DFW,1315,41,32,2023-01-22
AirIndia,DFW,DEN,668,46,46,2023-03-14
JetBlue,LAS,LAX,1055,155,144,2023-02-27
Southwest,DEN,LAS,2245,17,16,2023-03-01
Southwest,ORD,SFO,1369,85,90,2023-03-05
Southwest,SEA,MIA,1703,72,68,2023-01-24
AirIndia,LAS,JFK,2200,91,103,2023-04-01
JetBlue,DEN,MIA,949,147,163,2023-02-09
JetBlue,DEN,DFW,2089,153,173,2023-02-02
AirIndia,ORD,MIA,1228,23,40,2023-03-04
JetBlue,DFW,JFK,914,133,126,2023-03-09
AirIndia,LAX,JFK,1808,69,79,2023-01-25
Southwest,JFK,MIA,755,151,151,2023-01-15
Delta,SEA,LAS,2388,67,58,2023-02-07
AirIndia,LAX,ORD,2490,28,42,2023-01-10
AirIndia,DFW,LAX,1837,89,108,2023-02-27
Southwest,LAX,ORD,890,46,52,2023-02-07
Southwest,SEA,DFW,1355,155,166,2023-01-10
Delta,LAS,SEA,1689,2,16,2023-02-24
United,JFK,ATL,892,78,73,2023-02-02
American,MIA,ATL,446,125,129,2023-03-23
AirIndia,LAS,SEA,749,59,46,2023-02-13
Southwest,DEN,ORD,1116,131,137,2023-03-24
Delta,LAX,SFO,1194,80,65,2023-03-15
United,LAX,SFO,571,5,8,2023-01-16
Delta,DFW,MIA,2024,169,174,2023-02-11
United,DFW,ORD,1358,74,72,2023-02-13
United,SEA,LAX,1394,101,121,2023-03-04
Southwest,MIA,DEN,2306,38,34,2023-03-18
AirIndia,SEA,LAS,2375,146,137,2023-01-04
Southwest,SEA,DFW,792,59,54,2023-03-30
American,ORD,LAX,1841,16,7,2023-04-01
American,LAX,ATL,1291,98,110,2023-02-03
