flight_id,carrier,date,origin,dest,distance,sched_dep_time,sched_arr_time,dep_time,arr_time,dep_delay,arr_delay,cancelled
F100000,DL,2024-05-05,JFK,BOS,1298,07:30,10:12,07:34,10:26,4.0,14.0,0
F100001,LH,2024-02-17,LAX,JFK,1913,06:45,10:44,,,,,1
F100002,SW,2024-04-22,IAH,EWR,859,14:40,16:27,14:41,16:49,1.0,22.0,0
F100003,LH,2024-03-20,LAS,MIA,1460,06:10,09:12,06:10,09:16,-5.0,4.0,0
F100004,BA,2024-10-01,LAX,DTW,721,03:20,04:50,03:20,04:50,-5.0,0.0,0
F100005,AF,2024-12-26,BWI,SFO,200,02:00,02:40,02:00,02:40,-36.0,-41.0,0
F100006,DL,2024-08-20,CLT,MIA,392,20:10,20:59,20:25,21:05,15.0,6.0,0
F100007,DL,2024-09-30,SAN,DEN,200,23:45,00:25,00:29,01:08,44.0,43.0,0
F100008,QF,2024-01-29,SEA,PHX,1040,07:00,09:10,07:00,09:10,-29.0,-34.0,0
F100009,AI,2024-12-01,LAS,SFO,1066,15:20,17:33,15:20,17:33,-22.0,-15.0,0
F100010,QF,2024-10-26,IAH,MIA,639,13:40,14:59,13:40,14:59,0.0,-5.0,0
F100011,DL,2024-03-19,LAX,DFW,2111,20:30,00:53,20:37,00:53,7.0,-4.0,0
F100012,EK,2024-10-10,PHL,MIA,1493,00:50,03:56,00:50,03:56,-24.0,-19.0,0
F100013,AF,2024-08-10,ATL,LAS,200,05:25,,05:25,,-26.0,-22.0,0
F100014,UA,2024-11-16,PHL,ATL,1443,09:50,12:50,10:01,13:02,11.0,12.0,0
F100015,QF,2024-09-07,JFK,PHX,819,00:15,01:57,00:15,01:57,-30.0,-37.0,0
F100016,AA,2024-02-10,SEA,SAN,723,02:55,04:25,03:28,05:04,33.0,39.0,0
F100017,UA,2024-03-25,DTW,BWI,200,08:35,09:15,08:50,09:27,15.0,12.0,0
F100018,SW,2024-12-09,BOS,EWR,593,20:10,21:24,20:32,22:00,22.0,36.0,0
F100019,AF,2024-10-10,JFK,SAN,1558,07:40,10:54,07:40,10:54,-14.0,-16.0,0
F100020,AA,2024-09-20,LAS,ORD,1198,07:05,09:34,07:36,10:01,31.0,27.0,0
F100021,AI,2024-05-04,BWI,DTW,888,15:20,17:11,15:20,17:11,-21.0,-33.0,0
F100022,EK,2024-02-01,LAX,DFW,1487,12:55,16:00,13:36,16:42,41.0,42.0,0
F100023,EK,2024-04-03,DFW,MSP,1602,08:25,11:45,08:41,11:55,16.0,10.0,0
F100024,QF,2024-11-29,ATL,LAX,1216,17:00,19:32,17:45,20:19,45.0,47.0,0
F100025,EK,2024-07-24,DTW,SFO,1938,01:30,05:32,01:30,05:32,-58.0,-46.0,0
F100026,EK,2024-12-22,BOS,MSP,1052,23:35,01:46,23:35,01:49,0.0,3.0,0
F100027,AA,2024-02-01,BWI,IAH,200,23:10,23:50,23:12,23:58,2.0,8.0,0
F100028,UA,2024-02-11,LAX,IAH,1886,05:15,09:10,05:15,09:10,-6.0,-14.0,0
F100029,AI,2024-10-31,SEA,SAN,698,01:40,03:07,02:10,03:43,30.0,36.0,0
F100030,BA,2024-05-02,SFO,PHX,682,08:20,09:45,08:40,10:08,20.0,23.0,0
F100031,DL,2024-11-14,JFK,DTW,1581,18:15,21:32,18:15,21:32,-11.0,-13.0,0
F100032,DL,2024-05-25,SEA,CLT,764,05:25,07:00,05:25,07:00,-30.0,-24.0,0
F100033,QF,2024-06-02,JFK,BWI,1156,21:15,23:39,21:22,23:45,7.0,6.0,0
F100034,QF,2024-05-24,DFW,BOS,200,19:45,20:25,19:45,20:25,-4.0,-6.0,0
F100035,EK,2024-02-17,MIA,LAX,518,20:20,21:24,20:23,21:34,3.0,10.0,0
F100036,BA,2024-10-09,DEN,DTW,2131,22:20,02:46,22:31,03:02,11.0,16.0,0
F100037,UA,2024-07-08,IAH,LAX,955,18:35,20:34,18:35,20:34,-41.0,-39.0,0
F100038,AA,2024-12-15,PHX,SFO,1036,07:50,09:59,08:59,11:08,69.0,69.0,0
F100039,AI,2024-03-24,DFW,MIA,1180,05:20,07:47,05:26,07:47,6.0,-6.0,0
F100040,SW,2024-12-25,MIA,DEN,1685,03:20,06:50,03:46,07:27,26.0,37.0,0
F100041,EK,2024-04-26,PHX,BOS,454,07:00,07:56,07:00,07:56,-21.0,-12.0,0
F100042,BA,2024-07-23,PHX,IAH,2314,21:35,02:24,,,,,1
F100043,BA,2024-05-15,DEN,SAN,405,01:15,02:05,01:15,02:05,-7.0,-4.0,0
F100044,QF,2024-10-22,ATL,EWR,697,06:05,07:32,06:05,07:32,-32.0,-29.0,0
F100045,SW,2024-02-05,PHX,MSP,362,21:10,21:55,21:29,22:05,19.0,10.0,0
F100046,QF,2024-06-16,BOS,MSP,1929,12:55,16:56,12:55,16:56,-13.0,-15.0,0
F100047,UA,2024-06-03,SAN,BWI,1488,12:35,15:41,12:35,15:41,-24.0,-19.0,0
F100048,AI,2024-08-14,LAS,DTW,1784,14:50,18:33,14:50,18:33,-33.0,-29.0,0
F100049,UA,2024-09-20,ORD,LAS,1155,21:50,00:14,22:17,00:28,27.0,14.0,0
F100050,BA,2024-03-16,SEA,SFO,207,00:00,00:40,00:00,00:40,-8.0,-3.0,0
F100051,LH,2024-12-22,BWI,SFO,1207,12:25,14:55,12:25,14:55,-10.0,-5.0,0
F100052,DL,2024-03-31,EWR,SEA,1175,22:35,01:01,22:35,01:14,-11.0,13.0,0
F100053,UA,2024-10-13,MSP,IAH,1284,19:10,21:50,19:10,21:50,-23.0,-13.0,0
F100054,QF,2024-08-16,EWR,BWI,415,05:55,06:46,06:22,07:29,27.0,43.0,0
F100055,BA,2024-11-16,PHL,DTW,507,07:05,08:08,07:36,08:46,31.0,38.0,0
F100056,QF,2024-03-18,ORD,DEN,1493,07:20,10:26,08:14,11:19,54.0,53.0,0
F100057,QF,2024-02-01,MSP,EWR,547,06:20,07:28,06:20,07:28,-17.0,-16.0,0
F100058,AI,2024-01-04,CLT,PHL,1204,11:05,13:35,11:19,14:01,14.0,26.0,0
F100059,QF,2024-09-06,SAN,SEA,1007,07:05,09:10,,,,,1
F100060,AF,2024-08-27,CLT,DEN,1872,04:40,08:34,04:40,09:09,0.0,35.0,0
F100061,DL,2024-08-24,EWR,DFW,1375,05:00,07:51,05:00,07:51,,-25.0,0
F100062,LH,2024-05-09,MIA,MSP,1289,02:25,,02:26,,1.0,12.0,0
F100063,DL,2024-05-06,LAX,JFK,1283,06:00,08:40,06:05,08:40,5.0,-3.0,0
F100064,SW,2024-07-07,MSP,MIA,200,05:40,06:20,05:40,06:28,-4.0,8.0,0
F100065,BA,2024-01-14,ATL,SAN,1128,09:40,12:01,09:40,12:01,-24.0,-20.0,0
F100066,DL,2024-02-22,BWI,SEA,1231,22:05,00:38,22:05,00:38,-15.0,-11.0,0
F100067,AA,2024-08-07,PHX,BWI,1034,21:10,23:19,21:10,23:19,-22.0,-16.0,0
F100068,EK,2024-07-04,ATL,MSP,1336,20:25,23:12,20:59,00:01,,49.0,0
F100069,BA,2024-09-04,SAN,IAH,200,14:20,15:00,14:20,15:00,-16.0,-8.0,0
F100070,DL,2024-05-04,MIA,DTW,1308,14:40,17:23,15:00,18:31,20.0,68.0,0
F100071,UA,2024-06-30,DTW,SFO,1342,08:10,10:57,08:45,11:45,35.0,48.0,0
F100072,QF,2024-05-03,SFO,ORD,1390,23:20,02:13,23:20,02:23,-1.0,10.0,0
F100073,EK,2024-02-17,MSP,JFK,536,09:45,10:52,09:46,10:52,1.0,-3.0,0
F100074,QF,2024-08-05,PHL,PHX,1049,23:35,01:46,00:40,02:31,65.0,45.0,0
F100075,DL,2024-03-02,SFO,PHX,1411,23:35,02:31,23:35,02:31,-33.0,-37.0,0
F100076,BA,2024-11-01,BWI,PHL,1653,09:15,12:41,09:24,12:41,9.0,-2.0,0
F100077,QF,2024-01-24,DFW,BOS,570,01:35,02:46,01:59,03:03,24.0,17.0,0
F100078,DL,2024-05-25,JFK,SAN,1129,15:25,17:46,15:33,17:48,8.0,2.0,0
F100079,EK,2024-07-24,ATL,ORD,2286,15:15,20:00,15:38,20:01,23.0,1.0,0
F100080,BA,2024-03-01,ORD,MIA,1111,17:20,19:38,17:20,19:40,-10.0,2.0,0
F100081,EK,2024-10-28,MSP,BOS,524,13:05,14:10,13:09,14:22,4.0,12.0,0
F100082,SW,2024-12-04,SFO,BOS,1519,02:30,05:39,02:30,05:39,-23.0,-25.0,0
F100083,AI,2024-01-17,DTW,BOS,715,07:05,08:34,07:05,08:48,-9.0,14.0,0
F100084,BA,2024-08-05,BWI,SFO,1242,03:35,06:10,03:35,06:10,-25.0,-12.0,0
F100085,AA,2024-10-31,DEN,LAS,2273,23:40,04:24,00:13,04:41,33.0,17.0,0
F100086,LH,2024-10-03,MIA,IAH,709,15:25,16:53,16:04,17:26,39.0,33.0,0
F100087,BA,2024-04-27,JFK,ATL,1266,21:40,00:18,,,,,1
F100088,BA,2024-03-30,BWI,LAX,1464,15:35,18:38,15:35,18:38,-16.0,-15.0,0
F100089,EK,2024-06-27,ORD,PHL,200,13:10,13:50,13:10,13:50,-19.0,-20.0,0
F100090,EK,2024-10-08,BOS,EWR,251,01:25,02:05,02:13,02:38,48.0,33.0,0
F100091,QF,2024-08-24,JFK,BWI,735,13:00,14:31,13:10,15:00,10.0,29.0,0
F100092,AA,2024-10-08,SFO,BOS,200,04:05,04:45,04:41,05:23,36.0,38.0,0
